batter,runs_batter,wicket_taken,boundary,balls,strike_rate,fantasy_points
TA Boult,57,6,5,55,103.63636363636364,227
TG Southee,5,5,0,14,35.714285714285715,130
TH David,472,23,62,304,155.26315789473685,1295
TK Curran,79,2,8,60,131.66666666666666,161
TL Seifert,18,3,2,19,94.73684210526315,101
TM Head,459,15,75,254,180.70866141732282,1134
TS Mills,0,1,0,3,0.0,25
TU Deshpande,20,1,3,14,142.85714285714286,57
Tanush Kotian,22,1,3,21,104.76190476190477,59
Tilak Varma,974,29,132,637,152.90423861852435,2227
UT Yadav,73,8,9,60,121.66666666666666,309
Umran Malik,23,1,3,14,164.28571428571428,60
V Kohli,2084,66,263,1469,141.8652144315861,4786
V Nigam,28,1,5,11,254.54545454545453,73
V Shankar,419,26,51,341,122.87390029325513,1273
V Viyaskanth,6,0,0,4,150.0,6
VG Arora,9,2,0,15,60.0,59
VR Aaron,1,1,0,4,25.0,26
VR Iyer,1082,44,150,737,146.81139755766623,2782
Vijaykumar Vyshak,12,2,1,11,109.09090909090908,66
Virat Singh,12,3,1,20,60.0,91
Vishnu Vinod,34,3,4,28,121.42857142857142,125
Vivrant Sharma,52,1,8,36,144.44444444444443,109
WD Parnell,1,1,0,4,25.0,26
WG Jacks,190,7,29,110,172.72727272727272,481
WP Saha,923,45,132,699,132.04577968526468,2576
Washington Sundar,236,21,27,210,112.38095238095238,869
YBK Jaiswal,1231,50,195,786,156.61577608142494,3261
YS Chahal,14,2,0,27,51.85185185185185,64
YV Dhull,13,3,1,18,72.22222222222221,92
Yash Dayal,0,1,0,1,0.0,25
Yudhvir Singh,22,4,3,14,157.14285714285714,134
